block,stress,treatment,plot,count.0,count.7,count.14,count.21,count.28,count.36,count.43,count.60,count.77,count.130
1,low,BC,1,0,0,0,5,5,5,5,5,5,5
1,low,MC,2,0,0,0,5,5,5,5,5,5,2
1,low,MR,3,0,0,0,5,5,5,5,5,5,4
2,low,BC,4,0,0,0,4,5,5,5,5,5,5
2,low,MC,5,0,0,0,5,5,5,5,5,5,5
2,low,MR,6,0,0,0,5,5,5,5,5,5,4
3,low,BC,7,0,0,0,3,3,4,4,4,3,4
3,low,MC,8,0,0,0,4,4,4,4,4,4,5
3,low,MR,9,0,0,0,5,5,5,5,5,5,5
4,low,BC,10,0,0,0,5,5,5,5,5,5,5
4,low,MC,11,0,0,0,5,5,5,5,5,5,4
4,low,MR,12,0,0,0,5,5,5,5,5,5,1
5,low,BC,13,0,0,0,5,5,5,5,5,5,5
5,low,MC,14,0,0,0,5,5,5,5,5,5,3
5,low,MR,15,0,0,0,4,4,4,4,4,4,3
6,low,BC,16,0,0,0,2,2,2,2,2,2,2
6,low,MC,17,0,0,0,5,5,5,5,5,5,2
6,low,MR,18,0,0,0,4,4,3,3,3,3,2
7,low,BC,19,0,0,0,4,4,5,5,5,5,5
7,low,MC,20,0,0,0,5,5,5,5,5,4,1
7,low,MR,21,0,0,0,5,5,5,5,4,4,4
8,low,BC,22,0,0,0,5,5,5,5,5,5,5
8,low,MC,23,0,0,0,5,5,5,5,5,5,0
8,low,MR,24,0,0,0,3,3,3,3,3,3,2
9,low,BC,25,0,0,0,5,5,5,5,5,5,5
9,low,MC,26,0,0,0,4,4,4,4,5,4,1
9,low,MR,27,0,0,0,5,5,5,5,5,5,2
10,high,BC,28,0,0,0,5,5,5,5,5,5,5
10,high,MC,29,0,0,0,5,5,5,5,5,5,5
10,high,MR,30,0,0,0,5,5,5,5,5,5,5
11,high,BC,31,0,0,0,0,0,0,0,0,0,0
11,high,MC,32,0,0,0,4,4,4,4,4,4,3
11,high,MR,33,0,0,0,0,2,2,2,2,1,1
12,high,BC,34,0,0,0,5,5,5,5,5,5,5
12,high,MC,35,0,0,0,5,5,5,5,5,5,5
12,high,MR,36,0,0,0,5,5,5,5,5,5,5
13,high,BC,37,0,0,0,3,2,2,2,2,2,2
13,high,MC,38,0,0,0,5,5,5,5,5,5,5
13,high,MR,39,0,0,0,5,5,5,5,5,5,3
14,high,BC,40,0,0,0,5,5,5,5,5,5,5
14,high,MC,41,0,0,0,5,5,5,5,5,5,5
14,high,MR,42,0,0,0,3,3,3,4,3,3,3
15,high,BC,43,0,0,0,4,4,5,4,4,4,4
15,high,MC,44,0,0,0,4,5,5,5,5,5,5
15,high,MR,45,0,0,0,4,4,4,4,4,4,4
16,high,BC,46,0,0,0,5,5,5,5,5,5,5
16,high,MC,47,0,0,0,5,5,5,5,5,5,5
16,high,MR,48,0,0,0,5,5,5,5,5,5,5
17,high,BC,49,0,0,0,4,4,5,5,5,5,5
17,high,MC,50,0,0,0,5,5,5,5,5,5,5
17,high,MR,51,0,0,0,4,4,4,3,4,4,4
18,high,BC,52,0,0,0,5,5,5,5,5,5,5
18,high,MC,53,0,0,0,5,5,5,5,5,5,5
18,high,MR,54,0,0,0,5,4,4,4,4,4,4
