"plot","count.0","count.7","count.14","count.21","count.28","count.36","count.43","count.60","count.77","count.130"
1,0,0,0,5,5,5,5,5,5,5
2,0,0,0,5,5,5,5,5,5,2
3,0,0,0,5,5,5,5,5,5,4
4,0,0,0,4,5,5,5,5,5,5
5,0,0,0,5,5,5,5,5,5,5
6,0,0,0,5,5,5,5,5,5,4
7,0,0,0,3,3,4,4,4,3,4
8,0,0,0,4,4,4,4,4,4,5
9,0,0,0,5,5,5,5,4,5,5
10,0,0,0,5,5,5,5,5,5,5
11,0,0,0,5,5,5,5,5,5,4
12,0,0,0,5,5,5,5,5,5,1
13,0,0,0,5,5,5,4,5,5,5
14,0,0,0,5,5,5,5,5,5,3
15,0,0,0,4,4,4,4,4,4,3
16,0,0,0,2,2,2,2,2,2,2
17,0,0,0,5,5,5,5,5,5,2
18,0,0,0,4,4,3,3,3,3,2
19,0,0,0,4,4,5,4,5,5,5
20,0,0,0,5,5,5,5,5,4,1
21,0,0,0,5,5,5,5,4,4,4
22,0,0,0,5,5,5,5,5,5,5
23,0,0,0,5,5,5,5,5,5,0
24,0,0,0,3,3,3,3,3,3,2
25,0,0,0,5,5,5,5,4,4,5
26,0,0,0,4,4,4,4,5,4,1
27,0,0,0,5,5,5,5,5,5,2
28,0,0,0,5,5,5,5,5,5,5
29,0,0,0,5,5,5,5,5,5,5
30,0,0,0,5,5,5,5,5,5,5
31,0,0,0,0,0,0,0,0,0,0
32,0,0,0,4,4,4,4,4,4,3
33,0,0,0,0,2,2,2,2,1,1
34,0,0,0,5,5,5,5,5,5,5
35,0,0,0,5,5,5,5,5,5,5
36,0,0,0,5,5,5,5,5,5,5
37,0,0,0,3,2,2,2,2,2,2
38,0,0,0,5,5,5,5,5,5,5
39,0,0,0,5,5,5,5,5,5,3
40,0,0,0,5,5,5,5,5,5,5
41,0,0,0,5,5,5,5,5,5,5
42,0,0,0,3,3,3,4,3,3,3
43,0,0,0,4,4,5,4,4,4,4
44,0,0,0,4,5,5,5,5,5,5
45,0,0,0,4,4,4,4,4,4,4
46,0,0,0,5,5,5,5,5,5,5
47,0,0,0,5,5,5,5,5,5,5
48,0,0,0,5,5,5,5,5,5,5
49,0,0,0,4,4,5,5,5,5,5
50,0,0,0,5,5,5,5,5,5,5
51,0,0,0,4,4,4,3,4,4,4
52,0,0,0,5,5,5,5,5,5,5
53,0,0,0,5,5,5,5,5,5,5
54,0,0,0,5,4,4,4,4,4,4
